Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,random_avg,sonson_avg,caldas_avg,test_avg,geometry,cluster,Municipio
0,-1,5.71427892,-75.56295027,0.196755577,0.386310709,0.519732719,0.16853884,0.191814573,0.254060928,0.238092128,0.250891069,0.234235674,0.17799288,0.494968114,0.373884247,0.4433383,0.43062514,0.450035962,0.292630484,0.231054536,0.438570353,0.320751791,POINT (-75.56295027 5.71427892),0,ABEJORRAL
1,-1,5.732227638,-75.56295027,0.242106657,0.413953765,0.2082421,0.169161992,0.191589793,0.272564334,0.25895498,0.271313709,0.233758775,0.216154411,0.427314169,0.640974749,0.401491467,0.31529178,0.453062415,0.245010861,0.250549242,0.447626916,0.314395673,POINT (-75.56295027 5.732227638),0,ABEJORRAL
2,-1,5.750176356,-75.56295027,0.187928604,0.195383482,0.190197201,0.317636786,0.182716681,0.218127216,0.244315776,0.248934497,0.204531299,0.184541146,0.295919749,0.625120783,0.380248818,0.433793596,0.445013446,0.214772551,0.220089987,0.436019278,0.290293939,POINT (-75.56295027 5.750176356),0,ABEJORRAL
3,-1,5.759150715,-75.56295027,0.466547019,0.318226434,0.244640516,0.256906468,0.221871095,0.236881915,0.269837955,0.340918734,0.212581376,0.226173117,0.41699648,0.642146142,0.408111836,0.469771687,0.463448752,0.301638306,0.257278619,0.480094979,0.346337302,POINT (-75.56295027 5.759150715),0,ABEJORRAL
4,-1,5.696330202,-75.55397591,0.159346673,0.147265743,0.475415609,0.156471683,0.176585709,0.202026554,0.204580281,0.212614261,0.155285144,0.15406568,0.324894203,0.248692191,0.267922185,0.464765306,0.317554839,0.223017084,0.185714384,0.324765745,0.244499071,POINT (-75.55397591 5.696330202),0,ABEJORRAL
5,-1,5.705304561,-75.55397591,0.185381469,0.320492616,0.520025368,0.16941365,0.199732405,0.266607895,0.250620907,0.239995083,0.247406497,0.167322789,0.442491095,0.329280156,0.408944405,0.458301682,0.419046199,0.279009102,0.234390634,0.411612708,0.308337481,POINT (-75.55397591 5.705304561),0,ABEJORRAL
6,-1,5.71427892,-75.55397591,0.242171028,0.456350885,0.583103385,0.216218767,0.237146531,0.277411241,0.249841019,0.245394025,0.361712898,0.192037291,0.478598239,0.388489571,0.454930589,0.48136055,0.47130137,0.34699812,0.265279295,0.454936064,0.355737826,POINT (-75.55397591 5.71427892),0,ABEJORRAL
7,-1,5.687355843,-75.54500155,0.171272391,0.158316152,0.507780659,0.17770093,0.173915745,0.277475304,0.25243649,0.259344399,0.191536387,0.197316127,0.320346733,0.225253553,0.2923888,0.525664701,0.305569245,0.237797176,0.235621741,0.333844606,0.269087841,POINT (-75.54500155 5.687355843),0,ABEJORRAL
8,-1,5.696330202,-75.54500155,0.163734193,0.16811624,0.50521004,0.175208535,0.180851844,0.293027771,0.33339425,0.334265088,0.279579744,0.281832463,0.328458009,0.215033176,0.27441287,0.498277088,0.282996308,0.23862417,0.304419863,0.31983549,0.287626508,POINT (-75.54500155 5.696330202),0,ABEJORRAL
9,-1,5.678381484,-75.53602719,0.239864533,0.258332035,0.595130394,0.254293385,0.253678965,0.434159727,0.321844105,0.331480863,0.246822051,0.328531081,0.338291173,0.24436579,0.295527151,0.500340185,0.283905903,0.320259863,0.332567565,0.332486041,0.328437823,POINT (-75.53602719 5.678381484),0,ABEJORRAL
